Exercício: 2021;;;;;;;
Período: 2o. bimestre;;;;;;;
Escopo: Municípios do Estado - CE;;;;;;;
Anexo 06 - Demonstrativo do Resultado Primário e Nominal;;;;;;;
Tabela: Cálculo Acima da Linha - Receitas Primárias;;;;;;;
Período de Homologação/Retificação: 01/01/2018 à 07/07/2021;;;;;;;
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Valor;date
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2686612;PREVISÃO ATUALIZADA;RECEITAS CORRENTES (I);7895150367;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2686612;PREVISÃO ATUALIZADA;Impostos, Taxas e Contribuições de Melhoria;2078476551;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2686612;PREVISÃO ATUALIZADA;IPTU;549456012;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2686612;PREVISÃO ATUALIZADA;ISS;917304941;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2686612;PREVISÃO ATUALIZADA;ITBI;127660955;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2686612;PREVISÃO ATUALIZADA;IRRF;415891908;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2686612;PREVISÃO ATUALIZADA;Outros Impostos, Taxas e Contribuições de Melhoria;68162735;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2686612;PREVISÃO ATUALIZADA;Contribuições;515091545;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2686612;PREVISÃO ATUALIZADA;Receita Patrimonial;183437439;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2686612;PREVISÃO ATUALIZADA;Aplicações Financeiras (II);135451312;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2686612;PREVISÃO ATUALIZADA;Outras Receitas Patrimoniais;47986127;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2686612;PREVISÃO ATUALIZADA;Transferências Correntes;4739210738;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2686612;PREVISÃO ATUALIZADA;Cota-Parte do FPM;885077561;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2686612;PREVISÃO ATUALIZADA;Cota-Parte do ICMS;939552762;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2686612;PREVISÃO ATUALIZADA;Cota-Parte do IPVA;261145442;20210401
