Exercício: 2021;;;;;;;;
Período: 1o. quadrimestre;;;;;;;;
Escopo: Municípios do Estado - CE;;;;;;;;
Anexo 02 - Demonstrativo da Dívida Consolidada Líquida;;;;;;;;
Tabela: Dívida Consolidada Líquida;;;;;;;;
Período de Homologação/Retificação: 01/01/2018 à 06/07/2021;;;;;;;;
Instituição;Cod.IBGE;UF;PODER;População;Coluna;Conta;Valor;date
Prefeitura Municipal de Fortaleza - CE;2304400;CE;Executivo;2686612;SALDO DO EXERCÍCIO ANTERIOR;DÍVIDA CONSOLIDADA - DC (I);2578900398;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;Executivo;2686612;SALDO DO EXERCÍCIO ANTERIOR;Dívida Contratual;2416555185;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;Executivo;2686612;SALDO DO EXERCÍCIO ANTERIOR;Empréstimos;2143254793;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;Executivo;2686612;SALDO DO EXERCÍCIO ANTERIOR;Internos;608615410;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;Executivo;2686612;SALDO DO EXERCÍCIO ANTERIOR;Externos;1534639383;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;Executivo;2686612;SALDO DO EXERCÍCIO ANTERIOR;Parcelamento e Renegociação de Dívidas;40198927,85;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;Executivo;2686612;SALDO DO EXERCÍCIO ANTERIOR;De Tributos;10522196,77;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;Executivo;2686612;SALDO DO EXERCÍCIO ANTERIOR;De Contribuições Previdenciárias;29676731,08;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;Executivo;2686612;SALDO DO EXERCÍCIO ANTERIOR;Demais Dívidas Contratuais;233101464,4;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;Executivo;2686612;SALDO DO EXERCÍCIO ANTERIOR;Precatórios Posteriores a 05/05/2000 (inclusive) Vencidos e Não Pagos;162345213,4;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;Executivo;2686612;SALDO DO EXERCÍCIO ANTERIOR;DEDUÇÕES (II);832973257,6;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;Executivo;2686612;SALDO DO EXERCÍCIO ANTERIOR;Disponibilidade de Caixa;829048777,6;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;Executivo;2686612;SALDO DO EXERCÍCIO ANTERIOR;Disponibilidade de Caixa Bruta;860067387,7;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;Executivo;2686612;SALDO DO EXERCÍCIO ANTERIOR;(-) Restos a Pagar Processados;31018610,1;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;Executivo;2686612;SALDO DO EXERCÍCIO ANTERIOR;Demais Haveres Financeiros;3924480,03;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;Executivo;2686612;SALDO DO EXERCÍCIO ANTERIOR;DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II);1745927141;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;Executivo;2686612;SALDO DO EXERCÍCIO ANTERIOR;RECEITA CORRENTE LÍQUIDA - RCL (IV);7109305652;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;Executivo;2686612;SALDO DO EXERCÍCIO ANTERIOR;(-) Transferências Obrigatórias da União Relativas às Emendas Individuais (art. 166-A, § 1º, da CF) (V);2000000;20210401
