Exercício: 2021;;;;;;;;
Período: 1o. quadrimestre;;;;;;;;
Escopo: Estados/DF;;;;;;;;
Anexo 01 - Demonstrativo da Despesas Com Pessoal;;;;;;;;
Tabela: DTP e Apuração do Cumprimento do Limite Legal;;;;;;;;
Período de Homologação/Retificação: 01/01/2018 à 06/07/2021;;;;;;;;
Instituição;Cod.IBGE;UF;PODER;População;Coluna;Conta;Valor;date
Tribunal de Justiça do Estado do Ceará;23;CE;Judiciário;9187103;Valor;RECEITA CORRENTE LIQUIDA - RCL (IV);23161980679;20210401
Tribunal de Justiça do Estado do Ceará;23;CE;Judiciário;9187103;Valor;(-) Transferências Obrigatórias da União relativas às Emendas Individuais (art. 166-A, §1º, da CF) (V);22209960,79;20210401
Tribunal de Justiça do Estado do Ceará;23;CE;Judiciário;9187103;Valor;(-) Transferências Obrigatórias da União relativas às Emendas de Bancada (art. 166, § 16, da CF) (VI);116182594;20210401
Tribunal de Justiça do Estado do Ceará;23;CE;Judiciário;9187103;Valor;#NOME?;23023588124;20210401
Tribunal de Justiça do Estado do Ceará;23;CE;Judiciário;9187103;Valor;DESPESA TOTAL COM PESSOAL - DTP (VIII) = (III a + III b);1097125862;20210401
Tribunal de Justiça do Estado do Ceará;23;CE;Judiciário;9187103;Valor;LIMITE MÁXIMO (IX) (incisos I, II e III, art. 20 da LRF);1381415287;20210401
Tribunal de Justiça do Estado do Ceará;23;CE;Judiciário;9187103;Valor;LIMITE PRUDENCIAL (X) = (0,95 x IX) (parágrafo único do art. 22 da LRF);1312344523;20210401
Tribunal de Justiça do Estado do Ceará;23;CE;Judiciário;9187103;Valor;LIMITE DE ALERTA (XI) = (0,90 x IX) (inciso II do §1º do art. 59 da LRF);1243273759;20210401
Tribunal de Justiça do Estado do Ceará;23;CE;Judiciário;9187103;% sobre a RCL Ajustada;DESPESA TOTAL COM PESSOAL - DTP (VIII) = (III a + III b);4,77;20210401
Tribunal de Justiça do Estado do Ceará;23;CE;Judiciário;9187103;% sobre a RCL Ajustada;LIMITE MÁXIMO (IX) (incisos I, II e III, art. 20 da LRF);6;20210401
Tribunal de Justiça do Estado do Ceará;23;CE;Judiciário;9187103;% sobre a RCL Ajustada;LIMITE PRUDENCIAL (X) = (0,95 x IX) (parágrafo único do art. 22 da LRF);5,7;20210401
Tribunal de Justiça do Estado do Ceará;23;CE;Judiciário;9187103;% sobre a RCL Ajustada;LIMITE DE ALERTA (XI) = (0,90 x IX) (inciso II do §1º do art. 59 da LRF);5,4;20210401
Tribunal de Contas do Estado de Roraima;14;RR;Legislativo;631181;Valor;RECEITA CORRENTE LIQUIDA - RCL (IV);4895592077;20210401
Tribunal de Contas do Estado de Roraima;14;RR;Legislativo;631181;Valor;#NOME?;4895592077;20210401
Tribunal de Contas do Estado de Roraima;14;RR;Legislativo;631181;Valor;DESPESA TOTAL COM PESSOAL - DTP (VIII) = (III a + III b);56907090,41;20210401
Tribunal de Contas do Estado de Roraima;14;RR;Legislativo;631181;Valor;LIMITE MÁXIMO (IX) (incisos I, II e III, art. 20 da LRF);42591651,07;20210401
Tribunal de Contas do Estado de Roraima;14;RR;Legislativo;631181;Valor;LIMITE PRUDENCIAL (X) = (0,95 x IX) (parágrafo único do art. 22 da LRF);40462068,52;20210401
Tribunal de Contas do Estado de Roraima;14;RR;Legislativo;631181;Valor;LIMITE DE ALERTA (XI) = (0,90 x IX) (inciso II do §1º do art. 59 da LRF);38332485,96;20210401
Tribunal de Contas do Estado de Roraima;14;RR;Legislativo;631181;% sobre a RCL Ajustada;DESPESA TOTAL COM PESSOAL - DTP (VIII) = (III a + III b);1,16;20210401
Tribunal de Contas do Estado de Roraima;14;RR;Legislativo;631181;% sobre a RCL Ajustada;LIMITE MÁXIMO (IX) (incisos I, II e III, art. 20 da LRF);0,87;20210401
Tribunal de Contas do Estado de Roraima;14;RR;Legislativo;631181;% sobre a RCL Ajustada;LIMITE PRUDENCIAL (X) = (0,95 x IX) (parágrafo único do art. 22 da LRF);0,83;20210401
