Exercício: 2021;;;;;;;
Período: 2o. bimestre;;;;;;;
Escopo: Municípios do Estado - CE;;;;;;;
Anexo 06 - Demonstrativo do Resultado Primário e Nominal;;;;;;;
Tabela: Cálculo Acima da Linha - Despesas Primárias;;;;;;;
Período de Homologação/Retificação: 01/01/2018 à 07/07/2021;;;;;;;
Instituição;Cod.IBGE;UF;População;Coluna;Conta;Valor;date
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2686612;DOTAÇÃO ATUALIZADA;DESPESAS CORRENTES (XIII);7398138899;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2686612;DOTAÇÃO ATUALIZADA;Pessoal e Encargos Sociais;3909140292;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2686612;DOTAÇÃO ATUALIZADA;Juros e Encargos da Dívida (XIV);112770948;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2686612;DOTAÇÃO ATUALIZADA;Outras Despesas Correntes;3376227659;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2686612;DOTAÇÃO ATUALIZADA;DESPESAS PRIMÁRIAS CORRENTES (XV) = (XIII - XIV);7285367951;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2686612;DOTAÇÃO ATUALIZADA;DESPESAS DE CAPITAL (XVI);817676281;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2686612;DOTAÇÃO ATUALIZADA;Investimentos;628918774;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2686612;DOTAÇÃO ATUALIZADA;Inversões Financeiras;1179500;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2686612;DOTAÇÃO ATUALIZADA;Concessão de Empréstimos e Financiamentos (XVII);1172500;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2686612;DOTAÇÃO ATUALIZADA;Demais Inversões Financeiras;7000;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2686612;DOTAÇÃO ATUALIZADA;Amortização da Dívida (XX);187578007;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2686612;DOTAÇÃO ATUALIZADA;DESPESAS PRIMÁRIAS DE CAPITAL (XXI) = (XVI - XVII - XVIII - XIX - XX);628925774;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2686612;DOTAÇÃO ATUALIZADA;RESERVA DE CONTINGÊNCIA (XXII);4941000;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2686612;DOTAÇÃO ATUALIZADA;DESPESA PRIMÁRIA TOTAL (XXIII) = (XV + XXI + XXII);7919234725;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2686612;DESPESAS EMPENHADAS;DESPESAS CORRENTES (XIII);2241366700;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2686612;DESPESAS EMPENHADAS;Pessoal e Encargos Sociais;1166005071;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2686612;DESPESAS EMPENHADAS;Juros e Encargos da Dívida (XIV);18476305,36;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2686612;DESPESAS EMPENHADAS;Outras Despesas Correntes;1056885323;20210401
Prefeitura Municipal de Fortaleza - CE;2304400;CE;2686612;DESPESAS EMPENHADAS;DESPESAS PRIMÁRIAS CORRENTES (XV) = (XIII - XIV);2222890394;20210401
